Date : 2022-10-04 22:55:07
Directory : g:\frontend\PROJECT-SPH\sph
Total : 53 files,  26587 codes, 297 comments, 678 blanks, all 27562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| g:\frontend\PROJECT-SPH\sph\src\router\index.js                                | JavaScript         |         44 |         13 |          4 |         61 |
| g:\frontend\PROJECT-SPH\sph\src\router\routes.js                               | JavaScript         |        130 |          6 |          2 |        138 |
| g:\frontend\PROJECT-SPH\sph\src\store\detail\index.js                          | JavaScript         |         46 |          5 |          1 |         52 |
| g:\frontend\PROJECT-SPH\sph\src\store\home\index.js                            | JavaScript         |         44 |          3 |          1 |         48 |
| g:\frontend\PROJECT-SPH\sph\src\store\index.js                                 | JavaScript         |         20 |          2 |          4 |         26 |
| g:\frontend\PROJECT-SPH\sph\src\store\search\index.js                          | JavaScript         |         34 |          4 |          1 |         39 |
| g:\frontend\PROJECT-SPH\sph\src\store\shopcart\index.js                        | JavaScript         |         64 |         16 |          0 |         80 |
| g:\frontend\PROJECT-SPH\sph\src\store\trade\index.js                           | JavaScript         |         40 |          3 |          2 |         45 |
| g:\frontend\PROJECT-SPH\sph\src\store\user\index.js                            | JavaScript         |         70 |          7 |          0 |         77 |
| g:\frontend\PROJECT-SPH\sph\src\utils\uuid_token.js                            | JavaScript         |          9 |          2 |          0 |         11 |
| g:\frontend\PROJECT-SPH\sph\vue.config.js                                      | JavaScript         |         12 |          1 |          1 |         14 |
| Total                                                                          |                    |     26,587 |        297 |        678 |     27,562 |
+--------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
